Timestamp,Marker
1678702462.102297,right
1678702462.465942,right arrow
1678702463.2159636,red
1678702465.4622538,left
1678702465.798751,left arrow
1678702468.2521462,blue
1678702470.734161,red
1678702471.588688,blue
1678702473.8717146,red
1678702475.904488,left
1678702476.2379649,left arrow
1678702477.910109,blue
1678702478.7171185,red
1678702483.4605322,blue
1678702486.3576207,left
1678702486.405362,left arrow
1678702487.2202048,red
1678702489.37695,right
1678702489.7143402,right arrow
1678702490.4607854,blue
1678702491.209956,red
1678702494.3369734,blue
1678702495.8263354,red
1678702496.6060011,blue
1678702497.3273804,red
1678702498.1992395,blue
1678702500.166443,left
1678702500.2231286,left arrow
1678702501.7231524,red
1678702503.9157073,right
1678702504.498051,right arrow
1678702507.6627424,left
1678702508.5922434,left arrow
1678702510.408315,left
1678702516.8140607,left arrow
1678702518.4864578,blue
1678702519.3009856,red
1678702520.8937387,blue
1678702524.5975976,right
1678702524.9973347,right arrow
1678702528.153122,red
1678702529.0290585,blue
1678702529.9179542,red
1678702531.584695,blue
1678702532.4376817,red
1678702535.124759,left
1678702537.9914377,left arrow
1678702538.8835506,blue
1678702542.0489242,red
1678702542.8842926,blue
1678702543.7268894,red
1678702544.5466828,blue
1678702545.2794497,red
1678702547.0516193,blue
1678702548.6631565,red
1678702550.583067,right
1678702550.780835,right arrow
1678702552.8071156,right
1678702552.857718,right arrow
