Timestamp,Marker
1676893223.6849139,blue
1676893227.5849805,red
1676893229.6712432,right
1676893229.7187092,right arrow
1676893232.9436004,blue
1676893234.435895,red
1676893236.0128171,blue
1676893236.752535,red
1676893237.4810236,blue
1676893238.2723565,red
1676893239.8994133,right
1676893239.9330032,right arrow
1676893241.5678275,left
1676893244.1658397,left arrow
1676893244.9628997,blue
1676893246.5454202,left
1676893246.5883145,left arrow
1676893249.1226368,right
1676893249.1477864,right arrow
1676893251.565075,left
1676893252.2378752,left arrow
1676893253.9379163,left
1676893254.1308854,left arrow
1676893254.9667816,red
1676893255.7203636,blue
1676893257.2745733,red
1676893258.1766346,blue
1676893259.7740178,left
1676893259.7940989,left arrow
1676893260.6585772,red
1676893263.0802424,left
1676893263.2549775,left arrow
1676893263.998066,blue
1676893265.6723926,left
1676893301.6750498,left arrow
